"station_name","station_code","location_id"
"BIELSKO-BIAŁA","349190600","LOC001"
"ZAKOPANE","349190625","LOC002"
"KASPROWY WIERCH","349190650","LOC003"
"HALA GĄSIENICOWA","349200628","LOC004"
"NOWY SĄCZ","349200660","LOC005"
"KROSNO","349210670","LOC006"
"LESKO","349220690","LOC007"
"PRZEMYŚL","349220695","LOC008"
"JELENIA GÓRA","350150500","LOC009"
"ŚNIEŻKA","350150510","LOC010"
"KŁODZKO","350160520","LOC011"
"OPOLE","350170530","LOC012"
"RACIBÓRZ","350180540","LOC013"
"CZĘSTOCHOWA","350190550","LOC014"
"KATOWICE","350190560","LOC015"
"KATOWICE-MUCHOWIEC","350190560","LOC015"
"KRAKÓW-BALICE","350190566","LOC016"
"KIELCE-SUKÓW","350200570","LOC017"
"TARNÓW","350200575","LOC018"
"SANDOMIERZ","350210585","LOC019"
"RZESZÓW-JASIONKA","350220580","LOC020"
"ZAMOŚĆ","350230595","LOC021"
"ZIELONA GÓRA","351150400","LOC022"
"ZGORZELEC","351150405","LOC023"
"LEGNICA","351160415","LOC024"
"LESZNO","351160418","LOC025"
"WROCŁAW","351160424","LOC026"
"WROCŁAW-STRACHOWICE","351160424","LOC026"
"KALISZ","351180435","LOC027"
"WIELUŃ","351180455","LOC028"
"ŁÓDŹ","351190465","LOC029"
"ŁÓDŹ-LUBLINEK","351190465","LOC029"
"SULEJÓW","351190469","LOC030"
"KOZIENICE","351210488","LOC031"
"LUBLIN-RADAWIEC","351220495","LOC032"
"WŁODAWA","351230497","LOC033"
"SŁUBICE","352140310","LOC034"
"GORZÓW WIELKOPOLSKI","352150300","LOC035"
"POZNAŃ","352160330","LOC036"
"POZNAŃ-ŁAWICA","352160330","LOC036"
"KOŁO","352180345","LOC037"
"PŁOCK","352190360","LOC038"
"WARSZAWA","352200375","LOC039"
"WARSZAWA-OKĘCIE","352200375","LOC039"
"SIEDLCE","352220385","LOC040"
"TERESPOL","352230399","LOC041"
"ŚWINOUJŚCIE","353140200","LOC042"
"SZCZECIN","353140205","LOC043"
"RESKO-SMÓLSKO","353150210","LOC044"
"SZCZECINEK","353160215","LOC045"
"PIŁA","353160230","LOC046"
"CHOJNICE","353170235","LOC047"
"BYDGOSZCZ","353170240","LOC048"
"TORUŃ","353180250","LOC049"
"MŁAWA","353200270","LOC050"
"OLSZTYN","353200272","LOC051"
"MIKOŁAJKI","353210280","LOC052"
"OSTROŁĘKA","353210285","LOC053"
"BIAŁYSTOK","353230295","LOC054"
"KOŁOBRZEG","354150100","LOC055"
"KOŁOBRZEG-DŹWIRZYNO","354150100","LOC055"
"KOSZALIN","354160105","LOC056"
"USTKA","354160115","LOC057"
"ŁEBA","354170120","LOC058"
"LĘBORK","354170125","LOC059"
"ŻARNOWIEC","354180131","LOC060"
"HEL","354180135","LOC061"
"GDAŃSK-PORT PÓŁNOCNY","354180140","LOC062"
"GDAŃSK-RĘBIECHOWO","354180150","LOC062"
"GDAŃSK-ŚWIBNO","354180155","LOC062"
"ELBLĄG-MILEJEWO","354190160","LOC063"
"KĘTRZYN","354210185","LOC064"
"SUWAŁKI","354220195","LOC065"
