station_code,official_station_name,valid_from,valid_to,station_type,data_rank,latitude,longitude,elevation_m,metadata_status,source_url,source_retrieved_at
349190600,ALEKSANDROWICE,1951-01-01,1955-12-31,synoptyczna,klimat,49.8,19,398,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
349190600,ALEKSANDROWICE,1956-01-01,1965-12-31,synoptyczna,klimat,49.8,19,398,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
349190600,ALEKSANDROWICE,1966-01-01,1976-06-25,synoptyczna,synop,49.8,19,398,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
349190600,BIELSKO-BIAŁA,1976-06-26,1999-06-29,synoptyczna,synop,49.8,19,398,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
349190600,BIELSKO-BIAŁA,1999-06-30,2017-09-27,synoptyczna,synop,49.8072222,19.00027778,398,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
349190600,BIELSKO-BIAŁA,2017-09-28,,synoptyczna,synop,49.8066667,19.00222222,396,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
349190625,ZAKOPANE,1951-01-01,1951-07-31,synoptyczna,klimat,49.2833333,19.96666667,838,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
349190625,ZAKOPANE,1951-08-01,1965-12-31,synoptyczna,klimat,49.3,19.95,844,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
349190625,ZAKOPANE,1966-01-01,1967-01-20,synoptyczna,synop,49.3,19.95,844,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
349190625,ZAKOPANE,1967-01-21,1993-12-31,synoptyczna,synop,49.3,19.95,857,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
349190625,ZAKOPANE,1994-01-01,,synoptyczna,synop,49.2938889,19.96027778,852,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
349190650,KASPROWY WIERCH,1951-01-01,1965-12-31,synoptyczna,klimat,49.2325,19.98194444,1990,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
349190650,KASPROWY WIERCH,1966-01-01,,synoptyczna,synop,49.2325,19.98194444,1990,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
349200628,HALA GĄSIENICOWA,2019-01-01,,synoptyczna,synop,49.2438889,20.00583333,1523,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
349200660,NOWY SĄCZ,1954-01-01,1958-03-07,synoptyczna,klimat,49.6166667,20.68333333,285,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
349200660,NOWY SĄCZ,1958-03-08,1960-01-14,synoptyczna,klimat,49.6166667,20.68333333,285,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
349200660,NOWY SĄCZ,1960-01-15,1965-12-31,synoptyczna,klimat,49.6272222,20.68861111,292,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
349200660,NOWY SĄCZ,1966-01-01,,synoptyczna,synop,49.6272222,20.68861111,292,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
349210670,KROSNO,1985-01-01,,synoptyczna,synop,49.7066667,21.76916667,330,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
349220690,LESKO,1954-06-17,1965-12-31,synoptyczna,klimat,49.4666667,22.33333333,386,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
349220690,LESKO,1966-01-01,1980-11-11,synoptyczna,synop,49.4666667,22.33333333,386,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
349220690,LESKO,1980-11-12,,synoptyczna,synop,49.4663889,22.34166667,420,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
349220695,PRZEMYŚL,1954-01-01,1965-12-31,synoptyczna,klimat,49.7833333,22.76666667,237,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
349220695,PRZEMYŚL,1966-01-01,1969-07-31,synoptyczna,synop,49.7833333,22.76666667,237,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
349220695,PRZEMYŚL,1969-08-01,1992-05-18,synoptyczna,synop,49.8041667,22.77194444,279,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
349220695,PRZEMYŚL,1992-05-19,1992-08-31,klimatologiczna,klimat,49.8041667,22.77194444,279,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
349220695,PRZEMYŚL,1992-09-01,2000-06-30,synoptyczna,synop,49.8041667,22.77194444,279,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
349220695,PRZEMYŚL,2000-07-01,2000-07-01,synoptyczna,,49.8041667,22.77194444,279,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
349220695,,2000-07-02,,,,,,,unavailable,https://klimat.imgw.pl/json/stacje.json,2026-07-28
350150500,JELENIA GÓRA,1951-01-01,1965-12-31,synoptyczna,klimat,50.9002778,15.78888889,342,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
350150500,JELENIA GÓRA,1966-01-01,,synoptyczna,synop,50.9002778,15.78888889,342,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
350150510,ŚNIEŻKA,1951-01-01,1965-12-31,synoptyczna,klimat,50.7363889,15.73972222,1603,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
350150510,ŚNIEŻKA,1966-01-01,,synoptyczna,synop,50.7363889,15.73972222,1603,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
350160520,KŁODZKO,1951-01-01,1965-12-31,synoptyczna,klimat,50.4333333,16.6,316,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
350160520,KŁODZKO,1966-01-01,1976-08-02,synoptyczna,synop,50.4333333,16.6,316,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
350160520,KŁODZKO,1976-08-03,,synoptyczna,synop,50.4369444,16.61416667,356,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
350170530,OPOLE,1951-01-01,1954-04-20,synoptyczna,klimat,50.6666667,17.96666667,177,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
350170530,OPOLE,1954-04-21,1965-12-31,synoptyczna,klimat,50.6666667,17.96666667,176,official,https://klimat.imgw.pl/json/stacje.json,2026-07-28
